"U_UCZELNIA_ID";"U_NAZWA_UCZELNI";"U_QS_CONTINUATION_RATE_1617";"U_QS_CONTINUATION_RATE_1718";"U_QS_CONTINUATION_RATE_1819";"U_QS_N_ABS_1ST_1617";"U_QS_N_ABS_2ST_1617";"U_QS_N_ABS_JMGR_1617";"U_QS_N_ABS_DR_1617";"U_QS_N_PRACA_1ST_1617";"U_QS_N_PRACA_2ST_1617";"U_QS_N_PRACA_JMGR_1617";"U_QS_N_PRACA_DR_1617";"U_QS_N_BEZR_1ST_1617";"U_QS_N_BEZR_2ST_1617";"U_QS_N_BEZR_JMGR_1617";"U_QS_N_BEZR_DR_1617";"U_QS_N_STUD_1ST_1617";"U_QS_N_STUD_2ST_1617";"U_QS_N_STUD_JMGR_1617";"U_QS_N_STUD_DR_1617";"U_QS_N_UNABLE_1ST_1617";"U_QS_N_UNABLE_2ST_1617";"U_QS_N_UNABLE_JMGR_1617";"U_QS_N_UNABLE_DR_1617";"U_QS_N_ABS_1ST_1718";"U_QS_N_ABS_2ST_1718";"U_QS_N_ABS_JMGR_1718";"U_QS_N_ABS_DR_1718";"U_QS_N_PRACA_1ST_1718";"U_QS_N_PRACA_2ST_1718";"U_QS_N_PRACA_JMGR_1718";"U_QS_N_PRACA_DR_1718";"U_QS_N_BEZR_1ST_1718";"U_QS_N_BEZR_2ST_1718";"U_QS_N_BEZR_JMGR_1718";"U_QS_N_BEZR_DR_1718";"U_QS_N_STUD_1ST_1718";"U_QS_N_STUD_2ST_1718";"U_QS_N_STUD_JMGR_1718";"U_QS_N_STUD_DR_1718";"U_QS_N_UNABLE_1ST_1718";"U_QS_N_UNABLE_2ST_1718";"U_QS_N_UNABLE_JMGR_1718";"U_QS_N_UNABLE_DR_1718";"U_QS_N_ABS_1ST_1819";"U_QS_N_ABS_2ST_1819";"U_QS_N_ABS_JMGR_1819";"U_QS_N_ABS_DR_1819";"U_QS_N_PRACA_1ST_1819";"U_QS_N_PRACA_2ST_1819";"U_QS_N_PRACA_JMGR_1819";"U_QS_N_PRACA_DR_1819";"U_QS_N_BEZR_1ST_1819";"U_QS_N_BEZR_2ST_1819";"U_QS_N_BEZR_JMGR_1819";"U_QS_N_BEZR_DR_1819";"U_QS_N_STUD_1ST_1819";"U_QS_N_STUD_2ST_1819";"U_QS_N_STUD_JMGR_1819";"U_QS_N_STUD_DR_1819";"U_QS_N_UNABLE_1ST_1819";"U_QS_N_UNABLE_2ST_1819";"U_QS_N_UNABLE_JMGR_1819";"U_QS_N_UNABLE_DR_1819";"U_QS_N_ABS_1ST_1920";"U_QS_N_ABS_2ST_1920";"U_QS_N_ABS_JMGR_1920";"U_QS_N_ABS_DR_1920";"U_QS_N_PRACA_1ST_1920";"U_QS_N_PRACA_2ST_1920";"U_QS_N_PRACA_JMGR_1920";"U_QS_N_PRACA_DR_1920";"U_QS_N_BEZR_1ST_1920";"U_QS_N_BEZR_2ST_1920";"U_QS_N_BEZR_JMGR_1920";"U_QS_N_BEZR_DR_1920";"U_QS_N_STUD_1ST_1920";"U_QS_N_STUD_2ST_1920";"U_QS_N_STUD_JMGR_1920";"U_QS_N_STUD_DR_1920";"U_QS_N_UNABLE_1ST_1920";"U_QS_N_UNABLE_2ST_1920";"U_QS_N_UNABLE_JMGR_1920";"U_QS_N_UNABLE_DR_1920";"U_QS_STUDENT_ENTREPRENEURSHIPS_1617";"U_QS_STUDENT_ENTREPRENEURSHIPS_1718";"U_QS_STUDENT_ENTREPRENEURSHIPS_1819";"U_QS_STUDENT_ENTREPRENEURSHIPS_1920";"U_GRUP_UNEMPLOYMENT_1ST_1617";"U_GRUP_UNEMPLOYMENT_MGR_1617";"U_GRUP_UNEMPLOYMENT_DR_1617";"U_GRUP_UNEMPLOYMENT_1ST_1718";"U_GRUP_UNEMPLOYMENT_MGR_1718";"U_GRUP_UNEMPLOYMENT_DR_1718";"U_GRUP_UNEMPLOYMENT_1ST_1819";"U_GRUP_UNEMPLOYMENT_MGR_1819";"U_GRUP_UNEMPLOYMENT_DR_1819";"U_GRUP_UNEMPLOYMENT_1ST_1920";"U_GRUP_UNEMPLOYMENT_MGR_1920";"U_GRUP_UNEMPLOYMENT_DR_1920";"U_UMULTI_UNEMPLOYMENT_1ST_1617";"U_UMULTI_UNEMPLOYMENT_2ST_1617";"U_UMULTI_UNEMPLOYMENT_JMGR_1617";"U_UMULTI_UNEMPLOYMENT_1ST_1718";"U_UMULTI_UNEMPLOYMENT_2ST_1718";"U_UMULTI_UNEMPLOYMENT_JMGR_1718";"U_UMULTI_UNEMPLOYMENT_1ST_1819";"U_UMULTI_UNEMPLOYMENT_2ST_1819";"U_UMULTI_UNEMPLOYMENT_JMGR_1819";"U_UMULTI_REGION_1ST_1617";"U_UMULTI_REGION_2ST_1617";"U_UMULTI_REGION_JMGR_1617";"U_UMULTI_REGION_1ST_1718";"U_UMULTI_REGION_2ST_1718";"U_UMULTI_REGION_JMGR_1718";"U_UMULTI_REGION_1ST_1819";"U_UMULTI_REGION_2ST_1819";"U_UMULTI_REGION_JMGR_1819";"U_UMULTI_N_16";"U_UMULTI_N_17";"U_UMULTI_N_18";"U_UMULTI_N_19";"U_UMULTI_N_20";"U_UMULTI_NFIRM_18";"U_UMULTI_NFIRM_19";"U_UMULTI_NFIRM_20";"U_UMULTI_NFIRM_21"
2031;"Wyższa Szkoła Techniczno-Ekonomiczna w Szczecinie";17,1;7,3;16,7;82;0;0;0;70;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;41;0;0;0;35;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;20;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;32;0;0;0;25;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;15;5;3;3;1,2;;;4,9;;;8,3;;;3,1;;;2,9;;;7,9;;;5;;;79,7;;;64,1;;;78,3;;;77;82;41;25;31;21;20;8;6
2032;"Wyższa Inżynierska Szkoła Bezpieczeństwa i Organizacji Pracy w Radomiu";10,5;12,7;12,5;124;0;0;0;91;0;0;0;12;0;0;0;3;0;0;0;2;0;0;0;63;0;0;0;53;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;56;0;0;0;42;0;0;0;3;0;0;0;2;0;0;0;1;0;0;0;50;0;0;0;44;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;16;11;7;8;8,1;;;1,6;;;3,6;;;2;;;9,8;;;5,2;;;4,2;;;44,1;;;59;;;36,4;;;155;112;54;53;43;50;26;14;14
2034;"Wyższa Szkoła Menedżerska w Warszawie";22,6;39,3;48,5;991;724;25;0;627;424;20;0;23;17;0;0;217;76;1;0;18;11;1;0;555;812;74;0;427;482;40;0;10;13;1;0;89;80;1;0;8;20;1;0;507;493;47;0;354;371;37;0;13;24;1;0;66;12;3;0;4;13;1;0;320;309;27;0;256;266;17;0;10;3;1;0;35;9;1;0;3;10;1;0;56;63;44;19;2,9;2,4;;2,9;2,6;;2,4;4,3;;2,8;3,3;;2,7;2,5;0;2,2;1,7;1,4;3,5;4,5;2,4;37,1;31,5;60;54,9;27,2;38,9;48,2;35,7;55,6;1920;1621;1157;939;875;152;112;78;78
2035;"Gdańska Szkoła Wyższa z siedzibą w Gdańsku";48,3;36,7;39,7;267;161;0;0;220;143;0;0;7;10;0;0;17;0;0;0;4;2;0;0;180;100;0;0;157;86;0;0;5;4;0;0;7;0;0;0;3;4;0;0;204;163;0;0;172;147;0;0;5;6;0;0;10;0;0;0;7;4;0;0;125;114;0;0;106;103;0;0;3;2;0;0;8;1;0;0;2;3;0;0;24;10;10;12;3,4;6,2;;2,8;4;;4,4;3,1;;3,2;2,6;;3,5;6,4;;1,8;4,2;;2,3;3,8;;80,5;77;;82,8;63,6;;82,4;64,8;;416;409;306;349;263;47;31;21;24
2036;"Wyższa Szkoła Administracji Publicznej im. Stanisława Staszica w Białymstoku";51,4;53,7;46,7;72;78;42;0;54;60;26;0;2;4;4;0;8;1;0;0;1;3;1;0;54;29;34;0;45;26;27;0;3;2;1;0;4;0;0;0;0;0;0;0;45;66;27;0;28;55;18;0;6;2;1;0;6;0;1;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;9;8;0;2,8;8,3;;5,6;9,5;;6,7;3,2;;;;;5,3;5,3;7,3;0;7,1;3,2;13,8;3,2;4;66,7;69,2;57,1;74,1;79,3;81,8;55,6;68,2;55,6;337;133;111;138;0;25;11;19;10
2038;"Krakowska Wyższa Szkoła Promocji Zdrowia w Krakowie";50,4;46,8;60;413;112;0;0;253;89;0;0;13;7;0;0;103;1;0;0;7;4;0;0;293;122;0;0;180;91;0;0;19;7;0;0;60;5;0;0;1;3;0;0;320;190;0;0;198;153;0;0;16;13;0;0;80;2;0;0;4;3;0;0;336;160;0;0;207;131;0;0;18;9;0;0;96;3;0;0;4;3;0;0;49;54;69;52;8,2;9,8;;6,1;4,9;;4,7;3,7;;8;6,9;;3,3;6,8;;9,6;4,4;;5,6;7;;50,4;55;;49;57,4;;48,9;65,3;;384;546;391;588;487;112;138;144;142
2039;"Wyższa Szkoła Zarządzania i Przedsiębiorczości z siedzibą w Wałbrzychu";55,1;54,5;52,6;178;205;0;0;143;174;0;0;8;5;0;0;12;1;0;0;4;8;0;0;123;179;0;0;98;162;0;0;4;6;0;0;14;0;0;0;4;5;0;0;116;174;0;0;99;154;0;0;1;3;0;0;11;1;0;0;1;4;0;0;75;108;0;0;71;90;0;0;0;2;0;0;1;1;0;0;0;3;0;0;13;12;13;2;2,8;0;;3,3;1,1;;0,9;1,7;;2,7;3,7;;4,7;2,5;;6,2;3,4;;0;1,8;;79,1;82,7;;79,5;88,8;;80,4;87,3;;342;349;317;282;241;23;20;22;21
2040;"Wyższa Szkoła Ekologii i Zarządzania w Warszawie";32,2;32;26,8;301;142;0;0;217;110;0;0;11;6;0;0;37;2;0;0;2;3;0;0;225;122;0;0;153;90;0;0;5;3;0;0;32;4;0;0;5;2;0;0;265;123;0;0;180;101;0;0;6;2;0;0;41;0;0;0;5;3;0;0;248;130;0;0;161;92;0;0;4;1;0;0;29;1;0;0;2;5;0;0;50;46;40;41;1,7;2,8;;4,9;3,3;;2,3;4,1;;3,6;1,5;;4,9;4,4;;0,7;2,8;;2,9;1,8;;44,6;39,3;;40,5;45;;38,8;43,3;;517;414;328;408;396;110;93;96;110
2041;"Wyższa Szkoła Ekonomiczno-Społeczna w Ostrołęce";44,4;50,8;;45;0;0;0;28;0;0;0;5;0;0;0;7;0;0;0;3;0;0;0;61;0;0;0;47;0;0;0;5;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;0;0;15,6;;;6,6;;;;;;;;;15,4;;;10;;;;;;57,8;;;68,3;;;;;;62;46;58;0;0;5;9;8;0
2042;"Wyższa Szkoła Lingwistyczna w Częstochowie";44;19,6;41,3;116;120;0;0;68;84;0;0;1;2;0;0;21;1;0;0;0;2;0;0;56;93;0;0;28;79;0;0;3;1;0;0;4;2;0;0;1;1;0;0;92;129;0;0;56;97;0;0;1;2;0;0;8;0;0;0;0;2;0;0;85;96;0;0;41;53;0;0;1;2;0;0;9;3;0;0;0;0;0;0;6;3;5;12;5,2;1,7;;1,8;1,1;;1,1;1,6;;1,2;2,1;;1,6;1,7;;6,7;0;;0;1,6;;25;47,5;;21,4;43;;33,7;37,2;;226;207;199;202;179;12;9;13;23
2045;"Wyższa Szkoła Zarządzania i Bankowości w Krakowie";40,5;44,2;38,2;368;389;0;0;275;331;0;0;14;11;0;0;41;1;0;0;10;8;0;0;337;279;0;0;254;233;0;0;11;7;0;0;43;5;0;0;6;11;0;0;306;204;0;0;226;169;0;0;13;5;0;0;38;2;0;0;6;8;0;0;87;142;0;0;65;119;0;0;7;1;0;0;4;1;0;0;0;10;0;0;47;56;47;12;5,2;4,4;;2,4;3,6;;3,9;2;;12,6;0;;4,5;2,7;;3,5;2,7;;5,1;2,6;;67,7;75,1;;69,9;77,1;;65,7;73,5;;876;729;557;467;230;118;112;96;60
2046;"Wyższa Szkoła Pedagogiki i Administracji im. Mieszka I w Poznaniu";48,2;53,6;52,4;427;46;3;0;330;41;2;0;10;2;0;0;61;0;0;0;12;1;0;0;343;234;4;0;291;202;3;0;7;10;0;0;40;7;1;0;5;10;0;0;103;25;1;0;86;21;1;0;1;0;0;0;14;2;0;0;2;2;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;47;12;0;3,5;0;;2,6;3,8;;2,9;0;;;0;;4,1;4,3;0;0,9;3,7;0;2,9;0;;68,6;80,4;66,7;72,5;75;75;67;76;;832;400;597;62;2;84;83;62;7
2049;"Wyższa Szkoła Administracji Publicznej w Szczecinie";44,2;46,7;45,8;52;0;0;0;44;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;30;41;0;0;21;39;0;0;2;0;0;0;4;0;0;0;3;0;0;0;48;42;0;0;37;38;0;0;2;1;0;0;2;1;0;0;1;1;0;0;17;29;0;0;14;26;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;2;0;1;3,8;;;3,3;4,9;;2,1;2,4;;5,9;6,9;;0;;;6,2;0;;0;2,5;;84,3;;;69;94,4;;76,1;88,1;;65;37;90;75;63;0;2;2;1
2054;"Wyższa Szkoła Umiejętności Zawodowych w Pińczowie";59,6;53,8;58,4;57;0;0;0;53;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137;0;0;0;122;0;0;0;1;0;0;0;7;0;0;0;4;0;0;0;102;0;0;0;91;0;0;0;1;0;0;0;7;0;0;0;2;0;0;0;4;1;10;4;1,8;;;0;;;5,1;;;2,9;;;4,3;;;0;;;0;;;52,6;;;38,5;;;38,2;;;0;57;13;137;102;4;5;11;15
2055;"Wyższa Hanzeatycka Szkoła Zarządzania w Słupsku";;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75;0;0;0;0;4;0;0;0
2056;"Wyższa Szkoła Technologii Informatycznych w Katowicach";22,1;20,9;20,5;122;0;0;0;99;0;0;0;4;0;0;0;8;0;0;0;0;0;0;0;134;0;0;0;107;0;0;0;4;0;0;0;11;0;0;0;0;0;0;0;117;17;0;0;96;17;0;0;5;0;0;0;8;0;0;0;0;0;0;0;123;26;0;0;101;24;0;0;3;0;0;0;7;0;0;0;2;0;0;0;13;13;13;22;5,7;;;4,5;;;3,4;5,9;;4,9;7,7;;4,3;;;3,7;;;5,3;0;;73,8;;;75,4;;;74,1;94,1;;132;121;141;128;151;31;35;32;51
2057;"Wyższa Szkoła Techniczna w Katowicach";42,2;38,6;41;128;107;38;0;90;95;29;0;7;3;1;0;19;1;3;0;2;0;0;0;127;127;26;0;93;113;20;0;5;4;1;0;16;3;4;0;2;2;0;0;122;105;23;0;90;93;15;0;5;6;3;0;24;3;0;0;0;0;0;0;162;73;21;0;113;64;20;0;2;2;0;0;32;5;0;0;3;0;0;0;40;42;32;35;8,6;4,1;;6,3;7,8;;4,1;10,9;;3,1;4,3;;6,8;2,4;5,6;3,8;3,9;6,2;4,5;3,3;9,5;58,4;60,4;56,8;61,3;69,6;69,2;56,7;72,4;60,9;242;268;300;228;242;79;93;89;71
2059;"Wyższa Szkoła Medyczna w Legnicy z siedzibą w Legnicy";;;;0;77;0;0;0;68;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;106;0;0;0;95;0;0;0;0;0;0;0;1;0;0;0;5;0;0;0;276;0;0;0;261;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;160;0;0;0;152;0;0;0;0;0;0;0;0;0;0;0;6;0;0;7;5;14;10;;1,3;;;0;;;0;;;0;;;1,3;;;0;;;0;;;49,4;;;62,9;;;65,4;;94;76;108;274;170;14;11;21;38
2060;"Uczelnia Warszawska im. Marii Skłodowskiej-Curie w Warszawie";39,2;31,7;33,2;561;250;0;0;432;201;0;0;11;6;0;0;39;3;0;0;10;8;0;0;423;218;0;0;314;180;0;0;8;4;0;0;27;2;0;0;4;12;0;0;238;46;0;0;188;42;0;0;4;1;0;0;8;0;0;0;1;2;0;0;196;13;0;0;167;11;0;0;2;1;0;0;12;0;0;0;0;1;0;0;54;48;36;32;3,6;1,6;;3,3;3,2;;1,3;0;;1;7,7;;1,7;2,5;;1,7;2;;1,9;2,3;;42,8;52,1;;43,8;57,7;;43,2;66,7;;1011;744;612;214;187;125;116;82;72
2063;"Podkarpacka Szkoła Wyższa im. bł. ks. Władysława Findysza w Jaśle";45,3;48,7;47,1;64;44;0;0;44;30;0;0;5;9;0;0;6;0;0;0;0;0;0;0;76;53;0;0;60;43;0;0;3;6;0;0;11;0;0;0;0;2;0;0;51;32;0;0;36;25;0;0;3;2;0;0;5;0;0;0;0;1;0;0;61;34;0;0;48;26;0;0;2;2;0;0;3;1;0;0;1;1;0;0;4;7;5;2;9,4;20,5;;2,6;15,1;;7,8;0;;8,2;8,8;;6,1;20,9;;2,6;11,3;;3,6;6,2;;48,4;54,5;;52,6;73,6;;49;59,4;;163;93;123;89;97;15;10;13;10
2064;"Wyższa Szkoła Humanitas w Sosnowcu";36;37,7;32;325;168;73;0;234;140;63;0;6;1;2;0;24;0;2;0;2;5;0;0;406;204;80;0;255;160;68;0;9;4;1;0;35;1;2;0;4;2;1;0;434;177;130;0;246;142;114;0;4;3;2;0;46;0;2;0;6;3;3;0;407;234;103;0;257;184;80;0;4;5;5;0;36;1;5;0;1;4;4;0;22;28;24;24;3,1;3,3;;3,4;4,2;;1,4;2,6;;1;4,2;;0,5;0,6;2,9;2,3;2,1;1,3;1;1,8;1,6;53;75,5;72,2;47;71,1;69,2;42,3;73,5;73,6;564;619;631;771;674;75;66;50;58
2065;"Wyższa Szkoła Kultury Społecznej i Medialnej w Toruniu";79,3;64,1;67,7;58;38;0;0;22;29;0;0;1;0;0;0;28;1;0;0;0;0;0;0;78;43;0;0;24;27;0;0;1;2;0;0;42;3;0;0;0;1;0;0;65;25;0;0;17;20;0;0;1;2;0;0;39;0;0;0;1;0;0;0;70;52;0;0;19;41;0;0;5;2;0;0;40;3;0;0;0;0;0;0;6;7;4;4;6,9;5,3;;1,3;4,7;;3,1;8;;5,7;3,8;;0;0;;3,4;5,1;;4,8;8,3;;8,8;18,4;;3,9;14;;12,3;24;;97;87;122;85;121;12;11;14;10
2066;"Wyższa Szkoła Handlowa we Wrocławiu";61,6;49,4;41,4;99;112;0;0;68;76;0;0;1;4;0;0;26;4;0;0;0;1;0;0;85;66;0;0;49;47;0;0;3;0;0;0;19;1;0;0;1;0;0;0;116;86;0;0;47;53;0;0;2;3;0;0;32;1;0;0;1;3;0;0;115;70;0;0;34;24;0;0;0;0;0;0;27;1;0;0;1;0;0;0;11;6;7;5;2;6,2;;0;0;;1,7;2,3;;0;0;;2,9;3,9;;2,2;0;;1,4;3,6;;55,7;49,5;;49,4;56,5;;31,9;39,8;;237;190;141;218;228;27;18;13;18
2067;"Wyższa Szkoła Wychowania Fizycznego i Turystyki w Białymstoku";58,8;80,6;85,7;51;66;0;0;28;51;0;0;4;6;0;0;15;0;0;0;2;1;0;0;62;46;0;0;41;37;0;0;2;4;0;0;18;1;0;0;1;1;0;0;42;45;0;0;23;39;0;0;3;2;0;0;13;0;0;0;0;0;0;0;54;53;0;0;38;45;0;0;1;3;0;0;10;0;0;0;0;3;0;0;9;11;7;11;5,9;7,6;;8,1;4,3;;7,1;4,4;;5,6;5,7;;9,5;9,1;;8,3;9,3;;28,6;4,4;;47,1;66,7;;58,1;67,4;;40,5;75,6;;88;111;85;84;106;20;17;15;21
2068;"Wyższa Szkoła Informatyki i Umiejętności z siedzibą w Łodzi";40,3;31,5;35,3;72;1;0;0;51;1;0;0;7;0;0;0;10;0;0;0;0;0;0;0;251;111;0;0;174;91;0;0;4;2;0;0;29;3;0;0;3;2;0;0;184;63;0;0;132;54;0;0;7;2;0;0;29;0;0;0;0;0;0;0;121;56;0;0;90;45;0;0;5;3;0;0;7;1;0;0;0;0;0;0;7;23;24;16;5,6;;;2,8;0,9;;2,7;3,2;;5,8;1,8;;9,3;;;1,3;2,1;;5,2;3,2;;66,2;;;61,8;38,7;;54,3;32,8;;145;77;402;216;159;19;39;52;39
2069;"Wyższa Szkoła Biznesu i Administracji w Łukowie";35;47,8;;40;0;0;0;29;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;46;0;0;0;37;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;8;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;8;3;0;0;7,5;;;2,2;;;;;;0;;;0;;;4,2;;;;;;0;;;2,2;;;;;;29;40;46;0;12;8;11;3;0
2070;"Wyższa Szkoła Ekonomiczna w Stalowej Woli";50;58,3;33,3;34;0;0;0;26;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;24;0;0;0;19;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;24;0;0;0;17;0;0;0;2;0;0;0;4;0;0;0;1;0;0;0;18;0;0;0;15;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;1;2;0;14,7;;;4,2;;;16,7;;;0;;;12,5;;;0;;;13,3;;;66,7;;;79,2;;;58,3;;;0;35;24;24;19;3;3;6;2
2072;"Wyższa Szkoła Zarządzania w Częstochowie";48,9;62,7;63,1;47;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;49;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;103;0;0;0;93;0;0;0;3;0;0;0;6;0;0;0;1;0;0;0;65;131;0;0;64;120;0;0;0;2;0;0;0;3;0;0;0;4;0;0;1;0;2;12;2,1;;;2;;;2,9;;;0;0,8;;0;;;4,5;;;5,6;;;64,4;;;34,7;;;41,6;;;9;47;97;57;201;1;4;5;16
2073;"Wyższa Szkoła Humanistyczna TWP w Szczecinie";55;82,6;43,8;40;82;0;0;36;70;0;0;2;4;0;0;1;0;0;0;0;2;0;0;23;66;0;0;14;57;0;0;2;1;0;0;5;0;0;0;0;2;0;0;16;53;0;0;11;45;0;0;1;2;0;0;1;0;0;0;1;0;0;0;81;57;0;0;54;49;0;0;4;3;0;0;14;1;0;0;1;1;0;0;8;3;2;4;7,5;2,4;;8,7;3;;0;3,8;;6,2;3,5;;5;5;;0;1,6;;0;2;;87,5;78,8;;54,5;75,4;;66,7;74,5;;129;106;91;78;141;14;8;5;9
2075;"Wyższa Szkoła Humanistyczno-Przyrodnicza Studium Generale Sandomiriense w Sandomierzu";81;80;91,7;21;41;0;0;16;34;0;0;2;3;0;0;2;2;0;0;0;0;0;0;20;27;0;0;12;18;0;0;0;4;0;0;6;0;0;0;1;1;0;0;24;30;0;0;18;23;0;0;2;2;0;0;4;0;0;0;1;2;0;0;30;63;0;0;22;48;0;0;3;6;0;0;3;5;0;0;0;1;0;0;3;1;0;4;9,5;9,8;;0;11,1;;4,2;3,3;;16,7;4,8;;25;5,9;;0;16,7;;0;6,7;;47,6;43,9;;35;51,9;;25;43,3;;88;63;46;54;95;5;4;1;6
2076;"Wyższa Szkoła Bezpieczeństwa w Przemyślu";80;39,3;10;25;0;0;0;22;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;18;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;1;0;2;4;;;3,6;;;0;;;8;;;14,3;;;0;;;0;;;84;;;60,7;;;60;;;0;25;28;11;24;0;2;1;1
2078;"Wyższa Szkoła Zarządzania i Marketingu w Sochaczewie";18,2;22,4;19,6;44;0;0;0;40;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;67;0;0;0;58;0;0;0;2;0;0;0;4;0;0;0;1;0;0;0;56;0;0;0;50;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;3;0;0;;;1,5;;;1,8;;;;;;0;;;2,1;;;7,1;;;68,2;;;73,1;;;64,3;;;10;48;83;28;0;1;6;10;1
2079;"Szkoła Wyższa Przymierza Rodzin w Warszawie";41,7;11,1;25;12;0;0;0;10;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;9;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;0;0;0;8;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;0;;;0;;;0;;;0;;;0;;;0;;;33,3;;;66,7;;;50;;;15;15;3;8;6;1;0;2;1
2081;"Lubelska Szkoła Wyższa w Rykach";70;73,5;70,5;50;0;0;0;36;0;0;0;4;0;0;0;8;0;0;0;1;0;0;0;34;0;0;0;26;0;0;0;1;0;0;0;4;0;0;0;3;0;0;0;44;0;0;0;32;0;0;0;1;0;0;0;9;0;0;0;1;0;0;0;8;0;0;0;5;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;8;;;5,9;;;2,3;;;0;;;13,3;;;9,1;;;0;;;36;;;44,1;;;47,7;;;58;53;32;42;8;3;2;4;2
2082;"Wyższa Szkoła Nauk Stosowanych w Rudzie Śląskiej";50;73,2;;16;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;27;0;0;37;26;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;91;0;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;59;0;0;74;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;7;0;;;2,4;0;;;0;;0;0;;0;;;0;0;;;0;;93,3;;;90;88,9;;;98,8;;34;16;68;91;134;1;1;8;16
2083;"Międzynarodowa Wyższa Szkoła Logistyki i Transportu we Wrocławiu";47,4;38,8;49,2;135;99;0;0;62;53;0;0;2;1;0;0;44;1;0;0;1;1;0;0;209;75;0;0;91;45;0;0;1;1;0;0;56;17;0;0;2;1;0;0;236;109;0;0;91;46;0;0;3;1;0;0;80;20;0;0;1;0;0;0;372;155;0;0;143;63;0;0;2;0;0;0;124;11;0;0;0;2;0;0;8;16;13;21;1,5;2;;1,9;2,7;;0,4;0;;1,6;1,3;;1,4;1,1;;0,8;0;;1,9;1,4;;29,3;35,4;;34,1;41,1;;23;26,2;;138;234;285;383;488;18;25;35;41
2084;"Akademia WSB";41,7;38,7;33,8;918;544;0;0;703;481;0;0;25;9;0;0;105;2;0;0;13;8;0;0;793;551;0;0;587;464;0;0;22;10;0;0;84;3;0;0;7;10;0;0;941;653;2;0;648;552;2;0;41;14;0;0;102;7;0;0;13;8;0;0;966;628;10;0;682;476;6;0;24;12;1;0;121;22;1;0;7;14;0;0;77;52;77;62;5;3,1;;2,3;1,5;;3,2;1,8;;2,8;2,4;;3,6;1,7;;2,6;1,7;;4,7;2,2;;68,5;77;;65,9;69,8;;61,3;71,6;;1537;1413;1392;1580;1653;156;141;148;152
