"U_UCZELNIA_ID";"U_NAZWA_UCZELNI";"U_QS_CONTINUATION_RATE_1617";"U_QS_CONTINUATION_RATE_1718";"U_QS_CONTINUATION_RATE_1819";"U_QS_N_ABS_1ST_1617";"U_QS_N_ABS_2ST_1617";"U_QS_N_ABS_JMGR_1617";"U_QS_N_ABS_DR_1617";"U_QS_N_PRACA_1ST_1617";"U_QS_N_PRACA_2ST_1617";"U_QS_N_PRACA_JMGR_1617";"U_QS_N_PRACA_DR_1617";"U_QS_N_BEZR_1ST_1617";"U_QS_N_BEZR_2ST_1617";"U_QS_N_BEZR_JMGR_1617";"U_QS_N_BEZR_DR_1617";"U_QS_N_STUD_1ST_1617";"U_QS_N_STUD_2ST_1617";"U_QS_N_STUD_JMGR_1617";"U_QS_N_STUD_DR_1617";"U_QS_N_UNABLE_1ST_1617";"U_QS_N_UNABLE_2ST_1617";"U_QS_N_UNABLE_JMGR_1617";"U_QS_N_UNABLE_DR_1617";"U_QS_N_ABS_1ST_1718";"U_QS_N_ABS_2ST_1718";"U_QS_N_ABS_JMGR_1718";"U_QS_N_ABS_DR_1718";"U_QS_N_PRACA_1ST_1718";"U_QS_N_PRACA_2ST_1718";"U_QS_N_PRACA_JMGR_1718";"U_QS_N_PRACA_DR_1718";"U_QS_N_BEZR_1ST_1718";"U_QS_N_BEZR_2ST_1718";"U_QS_N_BEZR_JMGR_1718";"U_QS_N_BEZR_DR_1718";"U_QS_N_STUD_1ST_1718";"U_QS_N_STUD_2ST_1718";"U_QS_N_STUD_JMGR_1718";"U_QS_N_STUD_DR_1718";"U_QS_N_UNABLE_1ST_1718";"U_QS_N_UNABLE_2ST_1718";"U_QS_N_UNABLE_JMGR_1718";"U_QS_N_UNABLE_DR_1718";"U_QS_N_ABS_1ST_1819";"U_QS_N_ABS_2ST_1819";"U_QS_N_ABS_JMGR_1819";"U_QS_N_ABS_DR_1819";"U_QS_N_PRACA_1ST_1819";"U_QS_N_PRACA_2ST_1819";"U_QS_N_PRACA_JMGR_1819";"U_QS_N_PRACA_DR_1819";"U_QS_N_BEZR_1ST_1819";"U_QS_N_BEZR_2ST_1819";"U_QS_N_BEZR_JMGR_1819";"U_QS_N_BEZR_DR_1819";"U_QS_N_STUD_1ST_1819";"U_QS_N_STUD_2ST_1819";"U_QS_N_STUD_JMGR_1819";"U_QS_N_STUD_DR_1819";"U_QS_N_UNABLE_1ST_1819";"U_QS_N_UNABLE_2ST_1819";"U_QS_N_UNABLE_JMGR_1819";"U_QS_N_UNABLE_DR_1819";"U_QS_N_ABS_1ST_1920";"U_QS_N_ABS_2ST_1920";"U_QS_N_ABS_JMGR_1920";"U_QS_N_ABS_DR_1920";"U_QS_N_PRACA_1ST_1920";"U_QS_N_PRACA_2ST_1920";"U_QS_N_PRACA_JMGR_1920";"U_QS_N_PRACA_DR_1920";"U_QS_N_BEZR_1ST_1920";"U_QS_N_BEZR_2ST_1920";"U_QS_N_BEZR_JMGR_1920";"U_QS_N_BEZR_DR_1920";"U_QS_N_STUD_1ST_1920";"U_QS_N_STUD_2ST_1920";"U_QS_N_STUD_JMGR_1920";"U_QS_N_STUD_DR_1920";"U_QS_N_UNABLE_1ST_1920";"U_QS_N_UNABLE_2ST_1920";"U_QS_N_UNABLE_JMGR_1920";"U_QS_N_UNABLE_DR_1920";"U_QS_STUDENT_ENTREPRENEURSHIPS_1617";"U_QS_STUDENT_ENTREPRENEURSHIPS_1718";"U_QS_STUDENT_ENTREPRENEURSHIPS_1819";"U_QS_STUDENT_ENTREPRENEURSHIPS_1920";"U_GRUP_UNEMPLOYMENT_1ST_1617";"U_GRUP_UNEMPLOYMENT_MGR_1617";"U_GRUP_UNEMPLOYMENT_DR_1617";"U_GRUP_UNEMPLOYMENT_1ST_1718";"U_GRUP_UNEMPLOYMENT_MGR_1718";"U_GRUP_UNEMPLOYMENT_DR_1718";"U_GRUP_UNEMPLOYMENT_1ST_1819";"U_GRUP_UNEMPLOYMENT_MGR_1819";"U_GRUP_UNEMPLOYMENT_DR_1819";"U_GRUP_UNEMPLOYMENT_1ST_1920";"U_GRUP_UNEMPLOYMENT_MGR_1920";"U_GRUP_UNEMPLOYMENT_DR_1920";"U_UMULTI_UNEMPLOYMENT_1ST_1617";"U_UMULTI_UNEMPLOYMENT_2ST_1617";"U_UMULTI_UNEMPLOYMENT_JMGR_1617";"U_UMULTI_UNEMPLOYMENT_1ST_1718";"U_UMULTI_UNEMPLOYMENT_2ST_1718";"U_UMULTI_UNEMPLOYMENT_JMGR_1718";"U_UMULTI_UNEMPLOYMENT_1ST_1819";"U_UMULTI_UNEMPLOYMENT_2ST_1819";"U_UMULTI_UNEMPLOYMENT_JMGR_1819";"U_UMULTI_REGION_1ST_1617";"U_UMULTI_REGION_2ST_1617";"U_UMULTI_REGION_JMGR_1617";"U_UMULTI_REGION_1ST_1718";"U_UMULTI_REGION_2ST_1718";"U_UMULTI_REGION_JMGR_1718";"U_UMULTI_REGION_1ST_1819";"U_UMULTI_REGION_2ST_1819";"U_UMULTI_REGION_JMGR_1819";"U_UMULTI_N_16";"U_UMULTI_N_17";"U_UMULTI_N_18";"U_UMULTI_N_19";"U_UMULTI_N_20";"U_UMULTI_NFIRM_18";"U_UMULTI_NFIRM_19";"U_UMULTI_NFIRM_20";"U_UMULTI_NFIRM_21"
2013;"Wyższa Szkoła Administracji Publicznej w Ostrołęce";44,9;33,3;24,2;69;0;0;0;49;0;0;0;7;0;0;0;6;0;0;0;1;0;0;0;63;0;0;0;47;0;0;0;4;0;0;0;3;0;0;0;1;0;0;0;91;0;0;0;64;0;0;0;10;0;0;0;5;0;0;0;2;0;0;0;51;0;0;0;35;0;0;0;8;0;0;0;1;0;0;0;1;0;0;0;5;1;2;3;13;;;4,8;;;7,7;;;13,7;;;15,9;;;7,1;;;9,2;;;63,8;;;61,9;;;61,5;;;90;78;68;77;51;7;8;6;6
2015;"Wyższa Szkoła Bankowa w Poznaniu";52,6;47,8;48,6;2291;1561;0;0;1779;1360;0;0;74;26;0;0;267;31;0;0;38;47;0;0;2290;1234;11;0;1855;1085;9;0;53;22;0;0;219;12;1;0;42;25;1;0;2250;1450;18;0;1786;1237;15;0;56;29;2;0;224;12;0;0;24;42;0;0;2817;1574;47;0;2123;1382;37;0;57;20;0;0;364;18;2;0;46;28;4;0;242;250;231;276;3,2;2,6;;2,6;2,7;;1,9;2,4;;2;2,1;;4,5;1,6;;3,1;2;0;3;2;11,1;71,6;79,6;;73,9;78,8;66,7;72,2;77,7;72,2;3466;3757;3483;3731;4310;498;532;500;578
2018;"Akademia Humanistyczna im. Aleksandra Gieysztora w Pułtusku";60,8;66,1;73,3;189;178;0;0;141;133;0;0;17;15;0;0;16;0;0;0;9;7;0;0;183;171;0;0;118;145;0;0;17;8;0;0;28;0;0;0;4;5;0;0;146;167;0;0;108;144;0;0;9;8;0;0;17;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;12;10;0;5,8;10,7;;7,7;7;;4,8;4,8;;;;;10,6;8,6;;11,8;4,7;;9,8;4,9;;57,8;56,2;;50,8;66,1;;59,9;69,5;;431;350;320;277;0;28;22;21;10
2019;"Wszechnica Świętokrzyska w Kielcach";69,5;75,6;75,6;131;184;0;0;99;146;0;0;11;10;0;0;12;1;0;0;1;6;0;0;86;150;0;0;64;109;0;0;11;9;0;0;7;2;0;0;0;3;0;0;86;153;0;0;59;130;0;0;4;5;0;0;16;1;0;0;1;2;0;0;97;126;0;0;57;105;0;0;7;7;0;0;27;0;0;0;3;2;0;0;18;15;18;13;11,5;10,3;;10,5;4,7;;10,5;6,5;;3,1;5,6;;4,5;5,6;;4;5,5;;4;3,5;;49,6;56,4;;51,2;44,7;;45,3;57,2;;396;305;248;232;208;34;36;33;30
2022;"Wyższa Szkoła Informatyki i Zarządzania w Bielsku-Białej";7,1;6,7;12,9;14;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;13;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;16;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;3;4;2;7,1;;;6,7;;;0;;;5;;;0;;;0;;;0;;;85,7;;;66,7;;;71;;;16;14;19;27;27;4;6;6;8
2024;"Wyższa Szkoła Zarządzania i Administracji w Opolu";61,1;65,6;67,3;275;288;0;0;204;241;0;0;9;5;0;0;35;3;0;0;5;0;0;0;250;370;0;0;187;294;0;0;5;7;0;0;34;8;0;0;2;4;0;0;217;300;0;0;150;239;0;0;4;3;0;0;30;3;0;0;3;6;0;0;155;259;0;0;93;196;0;0;7;3;0;0;21;5;0;0;1;11;0;0;19;19;30;15;4,4;3,5;;4,8;1,9;;1,4;1,3;;5,8;2,7;;1,9;1,8;;2,3;2;;1,3;1;;60,4;52,8;;53,3;54,4;;47;55,1;;772;582;581;524;487;60;54;51;54
2025;"SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie";40,5;37,2;43,1;620;178;1281;8;273;128;1005;7;16;5;38;0;158;2;21;0;5;1;18;0;792;261;1313;34;352;192;1084;27;11;3;24;1;191;5;21;0;6;2;22;0;752;286;1232;6;299;167;1018;5;13;4;35;0;202;12;23;0;0;2;7;0;782;265;1176;23;354;163;988;23;17;7;25;0;221;1;15;0;6;4;20;0;224;296;237;229;2,3;6,4;0;2,1;3,8;0;1,7;4;0;1,9;3,1;0;4;3,1;2,8;2,1;1,2;1,8;2,4;1,5;2,8;31;40,3;51,9;34,1;51,9;54,2;24,5;33,6;57,6;1918;2210;2347;2285;2287;533;604;577;608
2026;"Wyższa Szkoła Agrobiznesu w Łomży";32,5;37,9;38,3;157;57;0;0;87;38;0;0;9;3;0;0;19;0;0;0;3;1;0;0;132;90;0;0;66;68;0;0;8;2;0;0;28;0;0;0;2;1;0;0;120;253;0;0;60;236;0;0;4;0;0;0;22;2;0;0;1;6;0;0;98;170;0;0;63;151;0;0;8;2;0;0;12;0;0;0;0;2;0;0;7;6;11;12;7;8,8;;7,6;3,3;;3,3;0;;2;0;;6,2;5,3;;8,1;2,3;;4;0;;29,3;29,8;;29,5;28,9;;23,3;48,2;;315;214;206;387;281;21;10;23;40
2028;"Europejska Szkoła Wyższa w Sopocie z siedzibą w Sopocie";31,2;;;16;0;0;0;13;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6,2;;;;;;;;;;;;0;;;;;;;;;68,8;;;;;;;;;1;16;0;0;0;2;2;0;0
2029;"Małopolska Wyższa Szkoła Ekonomiczna z siedzibą w Tarnowie";70,2;72,5;72,6;121;221;0;0;72;168;0;0;10;19;0;0;26;0;0;0;0;6;0;0;91;188;0;0;69;153;0;0;3;7;0;0;14;1;0;0;1;9;0;0;84;194;0;0;59;148;0;0;4;16;0;0;12;0;0;0;4;12;0;0;69;121;0;0;53;92;0;0;5;4;0;0;7;0;0;0;2;10;0;0;9;6;5;5;11,6;6,3;;6,6;4,3;;4,8;6,7;;5,8;3,3;;15,8;8,7;;4;2,8;;6,9;8,5;;50,4;63,6;;61,5;73,9;;57,1;64,4;;433;312;272;258;237;25;14;14;7
